state_id,full_name,state_id_count,winner_flg_count
AK,Chip Brookes,1,0
AK,Oliver Bundy,2,0
AK,Sarah Sinclair,1,0
AK,Thea Lawton,2,1
AL,Allan Ashley,1,0
AL,Andrew Smith,1,0
AL,Brandon Powell,3,2
AL,Carter Spires,3,2
AL,Clay Walls,2,1
AL,Darren Harris-Fain,4,3
AL,Ed Hagar,1,0
AL,Elena Stuewe,1,0
AL,Jean Parker,1,0
AL,Karen Gieger,1,0
AL,Kelvin Smith,1,0
AL,Lizzie Turner,1,0
AL,Marion Montgomery,1,0
AL,Matt Preston,3,2
AL,Michael Sieja,1,0
AL,Riley Westmoreland,1,0
AL,Rotimi Kukoyi,1,1
AL,Salomé Gonstad,1,0
AL,Sharath Narayan,4,4
AL,Thomas Phillips,2,1
AL,Zach Dark,3,2
AR,Andrew King,2,1
AR,Cody Vest,1,0
AR,Cooper Lair,4,3
AR,Doug Behrend,2,2
AR,Eli Nehus,2,1
AR,Fritz Brantley,1,1
AR,George Holcomb,1,1
AR,Grace Riley,1,0
AR,Hans Kamm,1,0
AR,Jake Allen,2,0
AR,Josh Hill,7,6
AR,Mary Parker,4,2
AR,Shane Whitlock,1,0
AR,Siobhan Fabio,1,0
AZ,Al Cho,1,0
AZ,Amy Thon,1,0
AZ,Barbara Fox,1,0
AZ,Barbara Gao,1,0
AZ,Chris Cardinal,1,0
AZ,Claudia Walters,1,0
AZ,Donna Normington,1,0
AZ,Frank Lang,2,1
AZ,Georjean McKeeman,1,1
AZ,Jason Downer,1,0
AZ,Jennie Floyd,1,0
AZ,Jill Rausch,2,1
AZ,Kellyn Johnson,1,0
AZ,Lenny Porges,2,2
AZ,Leszek Pawlowicz,2,1
AZ,Missy Meyer,1,0
AZ,Peggy Szymeczek,1,0
AZ,Sam Kooistra,1,0
AZ,Shawn Friend,1,0
AZ,Tara Baxter,1,0
AZ,Tenaya Snider,1,0
AZ,Tim Varecka,1,1
AZ,Tracy Alexander,1,0
AZ,Trevor Schultz,1,0
AZ,Tucker Dunn,4,3
CA,Adam Scholze,1,0
CA,Adam Soffrin,1,0
CA,Adrian Goldstein,1,1
CA,Adriana Ciccone,3,2
CA,Adrianne Woodward,1,0
CA,Aggie Lee,2,1
CA,Alan Lin,11,9
CA,Alan Sherman,1,1
CA,Alex Lautanen Walker,1,0
CA,Alex Schmidt,5,4
CA,Alexander Schwab,1,0
CA,Alisha Mathalikunnel,1,0
CA,Allison Berke,1,0
CA,Amy Berg,1,0
CA,Andrew Kung,2,2
CA,Andrew Lee,3,2
CA,Ani Gupta,1,0
CA,Annalisa Srivatsan,1,0
CA,Anuj Patel,1,0
CA,Ari Voukydis,1,0
CA,Ariel Watkins,1,0
CA,Asim Modi,2,1
CA,Ava Hadaway,1,0
CA,Ben Goldstein,1,0
CA,Ben Smolen,1,0
CA,Bhaskara Marthi,1,0
CA,Bill Murphy,1,0
CA,Billy Wong,1,0
CA,Bob Harris,1,0
CA,Bonnie Leih,1,0
CA,Brandon Bidlack,1,0
CA,Brendan Getzell,1,1
CA,Brian Hamilton,3,2
CA,Brianne Archer,1,0
CA,Bryan Rucker,1,1
CA,Bryna Fischer,1,1
CA,Buzzy Cohen,13,12
CA,Cameron Yahr,1,0
CA,Carlos Garcia,1,0
CA,Carly Shevinsky,1,0
CA,Carol Hansen,1,0
CA,Caroline Cawley,1,0
CA,Cary Finkelstein,1,0
CA,Cate Hollenbeck,1,0
CA,Catherine Ono,3,2
CA,Charlie Jensen,1,0
CA,Chris Nadon,1,0
CA,Christine Gengaro,1,1
CA,Christine Schreck,1,0
CA,Christopher Records,1,0
CA,Courtney Paulson,2,1
CA,Dan Green,1,0
CA,Dan Hess,1,1
CA,Dan Melia,1,0
CA,Dan Viafore,1,0
CA,Dani Cook,1,0
CA,Daniel Esch,1,0
CA,Daniel Ludlam,1,0
CA,Daniel Okamura,1,0
CA,Dave Scatena,2,2
CA,David Greenberg,1,0
CA,David Sena,1,1
CA,Del Scott,1,0
CA,Denise Littlejohn,2,2
CA,Dennis Fawcett,2,1
CA,Dennis Fipps,1,0
CA,Doug Groshart,2,0
CA,Doug Perez,2,1
CA,Eamon Doyle,1,0
CA,Ed Brown,1,0
CA,Ed Kim,2,1
CA,Edward Montiel,1,0
CA,Eesha Sohail,2,0
CA,Elena Gray-Blanc,1,0
CA,Elicia Woerle,1,1
CA,Elizabeth Scott-Jones,1,0
CA,Emily Campbell,1,0
CA,Emily Deckenback,1,0
CA,Emily Lewis,1,0
CA,Emily Sun,2,1
CA,Eric Kaplan,1,0
CA,Eric Simmonds,1,0
CA,Eric Thorpe,2,1
CA,Erik Latshaw,1,1
CA,Esteban Fernandez,1,0
CA,Evan Perkins,1,0
CA,Evan Sroka,1,0
CA,Farhad Mahmoudi,1,0
CA,Graham Toben,1,0
CA,Greg Frost,1,0
CA,Gwynedd Stuart,1,0
CA,Hannah Safford,1,0
CA,Harris Stutman,4,3
CA,Hilary Gaughen,1,0
CA,Hobie Barnes,1,0
CA,J.D. Lape,1,0
CA,JJ Harris,1,0
CA,Jack Izzo,2,0
CA,Jackie Fuchs,5,4
CA,Jaime Ryan,1,0
CA,James Behrens,1,0
CA,James Pelayo,1,0
CA,Jeff Filippini,1,0
CA,Jeff Lasky,1,0
CA,Jeff Trojan,1,0
CA,Jenn Frohlich,1,0
CA,Jennifer Blanton,4,3
CA,Jennifer Gilmore,1,0
CA,Jennifer Sterling,1,0
CA,Jennifer Tomassi,2,1
CA,Jeremy Zarowitz,1,0
CA,Jerry Tsai,1,0
CA,Jessica Johnston,2,2
CA,Jessica Rea,1,1
CA,Jim Hope,1,0
CA,Jim Read,1,0
CA,Joanna Kimmitt,2,1
CA,Joe Castro,2,1
CA,Joe Indiviglia,1,0
CA,Joel Goldes,1,0
CA,Johanna Andrews,1,0
CA,John Hendel,1,0
CA,Jon Barber,2,1
CA,Jon Brown,1,0
CA,Jon Eisenman,7,5
CA,Jon Rossiter,1,1
CA,Jonah Platt,1,0
CA,Jonathan Dinerstein,5,4
CA,Jordan Skidmore,1,0
CA,Josh Duggan,1,0
CA,Josh Stephens,1,1
CA,Josie Bianchi,1,0
CA,Julia Lee,2,1
CA,Julia Levine,1,0
CA,Julie Sesnovich,1,0
CA,Julie Vazquez-Souza,1,0
CA,Justin Burden,1,0
CA,Kat Lewin,1,0
CA,Kate Laubscher,2,0
CA,Kate Tucci,1,0
CA,Katherine Saxby,2,1
CA,Katie Frank,3,2
CA,Katie Landers,1,0
CA,Kay Yung,1,0
CA,Kaya Chua,1,0
CA,Keely Walker,1,0
CA,Kelsey Van Bokkem,1,0
CA,Kevin Donohue,1,0
CA,Kevin Huang,1,0
CA,Kevin Ruby,1,0
CA,Kiana Nakamura,2,2
CA,Kiyana Holderbaum,1,0
CA,Larissa Dizon,1,0
CA,Larissa Kelly,1,0
CA,Laura Hite,1,0
CA,Laura Spoelstra,1,0
CA,Lauren Cusitello,1,1
CA,Linda Fraley,1,0
CA,Linda Shaver-Gleason,1,0
CA,Lisa Beth Davis,1,1
CA,Liz Levin,1,0
CA,Lori Goodman,2,1
CA,Lydia Cuffman,3,1
CA,Mackenzie Brooks,1,0
CA,Maire Kennedy,1,0
CA,Mallory Howe,1,0
CA,Manuel Bermúdez,1,0
CA,Marcus Leung,1,0
CA,Marshall Shelburne,1,0
CA,Martin Chetlen,1,0
CA,Mary Ann Borer,5,4
CA,Matthew Swanson,1,0
CA,Maureen Block,1,0
CA,Megan Logsdon,1,0
CA,Melanie Tannenbaum Hepler,1,0
CA,Melissa Fall,1,0
CA,Michael Bilow,1,0
CA,Michael Buss,1,0
CA,Michael Koh,1,0
CA,Michael Kwan,1,1
CA,Michael Riggs,1,0
CA,Miles Lake,1,0
CA,Mitch Rodricks,1,0
CA,Monica Foy,1,0
CA,Monique Aldred,1,0
CA,Nate Ross,2,1
CA,Nathan Kaplan,2,1
CA,Nic Pereira,1,0
CA,Nick Durazo,2,2
CA,Nick Hurwitz,1,0
CA,Niels Hirschmann,1,0
CA,Nikhil Damle,1,0
CA,Niraj Dhami,1,1
CA,Niño Yosinao,1,0
CA,Patricia Jia,1,0
CA,Patrick Fernandez,1,0
CA,Patrick Wyman,1,0
CA,Paul Hoan Zeidler,1,0
CA,Pete Miranti,1,0
CA,Pete Tachibana,1,0
CA,Pete Vanderhyden,1,0
CA,Peter Diedrich,1,0
CA,Peter Guekguezian,4,4
CA,Pidge Meade,2,2
CA,Playing the Double Jeopardy! Round: Larissa Kelly,1,1
CA,Playing the Final Jeopardy! Round: Alan Lin,1,0
CA,Playing the Jeopardy! Round: Brad Rutter,1,1
CA,Playing the Jeopardy! Round: Pam Mueller,1,0
CA,Rachael Schwartz,2,1
CA,Rachel Levinson-Emley,1,0
CA,Ramona Riddles,1,0
CA,Ray Coshow,1,1
CA,Rebeca Avila,1,0
CA,Rebecca Baird,1,0
CA,Rebecca Harlow,1,0
CA,Regina Cabrera,2,2
CA,Remy Timbrook,1,1
CA,Richmond Curtiss,1,0
